date,total_clones,unique_clones
2022-08-25,9,5
2022-08-26,2,2
2022-08-27,6,3
2022-08-28,5,4
2022-08-29,5,4
2022-08-30,2,2
2022-08-31,2,2
2022-09-01,4,3
2022-09-02,3,3
2022-09-03,2,2
2022-09-04,2,2
2022-09-05,4,4
2022-09-06,2,2
2022-09-07,1,1
2022-09-08,2,2
2022-09-09,1,1
2022-09-10,2,2
2022-09-11,2,2
2022-09-12,1,1
2022-09-13,1,1
2022-09-14,3,2
2022-09-15,1,1
2022-09-16,3,2
2022-09-17,2,2
2022-09-18,2,2
2022-09-19,2,2
2022-09-20,2,2
2022-09-21,2,2
2022-09-22,3,2
2022-09-23,2,2
2022-09-24,4,3
2022-09-25,1,1
2022-09-26,2,2
2022-09-27,0,0
